name,E2015_16,E2016_17,E2017_18,E2018_19,E2019_20,MA2015_16,MA2016_17,MA2017_18,MA2018_19,MA2019_20,SUM2015_16,SUM2016_17,SUM2017_18,SUM2018_19,SUM2019_20,MED2015_16,MED2016_17,MED2017_18,MED2018_19,MED2019_20,MEAN2015_16,MEAN2016_17,MEAN2017_18,MEAN2018_19,MEAN2019_20
Strathbogie,"5,653","5,863","5,980","5,972","6,092",51,51,51,50,51,"248,000,000","271,231,863","291,570,482","302,387,315","308,061,753","37,823","39,500","41,407","43,235","43,302","43,854","46,262","48,758","50,634","50,568"
Surf Coast,"18,325","19,460","20,093","20,859","21,994",46,46,46,46,46,"1,090,000,000","1,191,797,629","1,293,284,909","1,414,275,135","1,552,460,549","44,866","46,109","48,467","51,451","52,224","59,670","61,243","64,365","67,802","70,586"
Swan Hill,"11,248","11,619","11,730","11,736","12,690",44,44,44,42,42,"532,000,000","583,945,124","623,050,480","640,363,508","664,032,084","40,592","42,046","45,151","45,855","44,327","47,292","50,258","53,116","54,564","52,327"
Towong,"3,502","3,569","3,661","3,513","3,560",51,52,52,51,52,"169,000,000","169,680,134","172,783,418","176,450,494","192,730,392","39,569","39,379","39,341","40,716","42,687","48,237","47,543","47,196","50,228","54,138"
Wangaratta,"15,937","16,182","16,474","16,474","16,800",47,47,47,47,47,"770,000,000","803,631,011","848,172,946","872,453,733","915,262,848","41,643","42,578","43,804","46,286","46,850","48,333","49,662","51,486","52,959","54,480"
Warrnambool,"19,798","20,087","20,445","20,869","21,207",43,43,43,43,43,"1,010,000,000","1,054,384,707","1,187,429,858","1,188,329,451","1,241,234,456","43,111","44,274","46,605","48,406","50,144","50,920","52,491","58,079","56,942","58,529"
Wellington,"22,665","22,885","23,056","23,103","23,837",46,46,47,46,46,"1,220,000,000","1,208,093,089","1,239,156,904","1,292,443,234","1,396,878,018","41,724","41,816","43,267","44,866","46,503","53,614","52,790","53,746","55,943","58,601"
West Wimmera,"2,294","2,357","2,361","2,332","2,357",50,51,51,50,51,"91,355,630","114,352,076","125,310,557","162,549,317","152,794,167","35,140","41,270","43,252","50,367","47,573","39,824","48,516","53,075","69,704","64,826"
Whitehorse,"92,588","97,054","100,215","102,609","103,783",44,43,43,43,43,"5,620,000,000","5,926,218,121","6,237,745,057","6,584,267,937","6,787,293,168","45,726","45,394","46,165","47,940","48,608","60,652","61,061","62,244","64,169","65,399"
Whittlesea,"102,180","109,101","113,717","118,690","122,029",39,38,38,38,38,"5,310,000,000","5,802,834,511","6,256,935,538","6,731,297,706","7,101,746,798","46,482","47,156","48,592","50,317","51,170","51,987","53,188","55,022","56,713","58,197"
Wodonga,"21,530","22,412","23,169","23,553","24,170",42,42,42,42,42,"1,140,000,000","1,199,559,626","1,266,517,794","1,347,840,973","1,412,094,942","47,461","48,356","49,253","51,267","52,498","52,837","53,523","54,664","57,226","58,423"
Wyndham,"114,369","125,625","134,914","145,713","154,455",37,37,37,37,37,"6,320,000,000","7,058,541,438","7,778,755,537","8,601,975,244","9,342,167,595","48,741","49,242","50,282","51,594","52,327","55,243","56,187","57,657","59,034","60,485"
Yarra,"56,374","60,867","62,165","63,513","63,066",35,35,35,35,35,"4,420,000,000","4,927,266,814","5,208,248,204","5,563,551,348","5,709,371,912","59,284","60,413","63,503","66,659","69,025","78,435","80,951","83,781","87,597","90,530"
Yarra Ranges,"87,808","90,448","91,872","92,304","92,947",44,44,44,44,44,"4,840,000,000","5,092,093,975","5,410,097,846","5,673,940,492","5,823,907,204","46,383","47,473","49,136","51,360","52,188","55,154","56,299","58,887","61,470","62,658"
Yarriambiack,"3,453","3,623","3,624","3,439","3,602",51,51,51,51,51,"133,000,000","184,019,104","210,661,274","180,669,855","236,250,988","33,658","40,701","45,898","44,256","50,362","38,391","50,792","58,129","52,536","65,589"
Unincorporated Vic,337,415,425,419,367,33,30,29,30,32,"10,973,970","12,148,105","13,941,140","13,651,475","12,791,353","20,329","19,565","22,203","20,916","25,004","32,564","29,273","32,803","32,581","34,854"
